City	Incorporation	State	Year	Population
Juneau  	borough	Alaska	2010	31388
Juneau  	borough	Alaska	2011	32186
Juneau  	borough	Alaska	2012	32443
Juneau  	borough	Alaska	2013	32645
Juneau  	borough	Alaska	2014	32625
Juneau  	borough	Alaska	2015	32756
Sitka  	borough	Alaska	2010	8898
Sitka  	borough	Alaska	2011	8914
Sitka  	borough	Alaska	2012	9054
Sitka  	borough	Alaska	2013	9003
Sitka  	borough	Alaska	2014	8881
Sitka  	borough	Alaska	2015	8863
Kenai Peninsula 	borough	Alaska	2010	35768
Kenai Peninsula 	borough	Alaska	2011	36190
Kenai Peninsula 	borough	Alaska	2012	36521
Kenai Peninsula 	borough	Alaska	2013	36628
Kenai Peninsula 	borough	Alaska	2014	36684
Kenai Peninsula 	borough	Alaska	2015	36785
Ketchikan Gateway 	borough	Alaska	2010	13525
Ketchikan Gateway 	borough	Alaska	2011	13635
Ketchikan Gateway 	borough	Alaska	2012	13699
Ketchikan Gateway 	borough	Alaska	2013	13673
Ketchikan Gateway 	borough	Alaska	2014	13781
Ketchikan Gateway 	borough	Alaska	2015	13709
Ketchikan Gateway 	borough	Alaska	2010	5036
Ketchikan Gateway 	borough	Alaska	2011	5065
Ketchikan Gateway 	borough	Alaska	2012	5092
Ketchikan Gateway 	borough	Alaska	2013	5082
Ketchikan Gateway 	borough	Alaska	2014	5122
Ketchikan Gateway 	borough	Alaska	2015	5095
Kodiak Island 	borough	Alaska	2010	13651
Kodiak Island 	borough	Alaska	2011	13807
Kodiak Island 	borough	Alaska	2012	14067
Kodiak Island 	borough	Alaska	2013	14097
Kodiak Island 	borough	Alaska	2014	14007
Kodiak Island 	borough	Alaska	2015	13889
Kodiak Island 	borough	Alaska	2010	6767
Kodiak Island 	borough	Alaska	2011	6831
Kodiak Island 	borough	Alaska	2012	6962
Kodiak Island 	borough	Alaska	2013	6994
Kodiak Island 	borough	Alaska	2014	6957
Kodiak Island 	borough	Alaska	2015	6895
North Slope 	borough	Alaska	2010	9468
North Slope 	borough	Alaska	2011	9533
North Slope 	borough	Alaska	2012	9661
North Slope 	borough	Alaska	2013	9739
North Slope 	borough	Alaska	2014	9713
North Slope 	borough	Alaska	2015	9687
Northwest Arctic 	borough	Alaska	2010	7545
Northwest Arctic 	borough	Alaska	2011	7723
Northwest Arctic 	borough	Alaska	2012	7722
Northwest Arctic 	borough	Alaska	2013	7716
Northwest Arctic 	borough	Alaska	2014	7748
Northwest Arctic 	borough	Alaska	2015	7752
Naugatuck 	borough	Connecticut	2010	31887
Naugatuck 	borough	Connecticut	2011	31835
Naugatuck 	borough	Connecticut	2012	31808
Naugatuck 	borough	Connecticut	2013	31753
Naugatuck 	borough	Connecticut	2014	31657
Naugatuck 	borough	Connecticut	2015	31538
Acadia 	parish	Louisiana	2010	31522
Acadia 	parish	Louisiana	2011	31558
Acadia 	parish	Louisiana	2012	31598
Acadia 	parish	Louisiana	2013	31851
Acadia 	parish	Louisiana	2014	32149
Acadia 	parish	Louisiana	2015	32305
Allen 	parish	Louisiana	2010	25738
Allen 	parish	Louisiana	2011	25724
Allen 	parish	Louisiana	2012	25565
Allen 	parish	Louisiana	2013	25603
Allen 	parish	Louisiana	2014	25691
Allen 	parish	Louisiana	2015	25683
Allen 	parish	Louisiana	2010	12960
Allen 	parish	Louisiana	2011	12973
Allen 	parish	Louisiana	2012	12904
Allen 	parish	Louisiana	2013	12947
Allen 	parish	Louisiana	2014	12988
Allen 	parish	Louisiana	2015	12996
Assumption 	parish	Louisiana	2010	23352
Assumption 	parish	Louisiana	2011	23175
Assumption 	parish	Louisiana	2012	23065
Assumption 	parish	Louisiana	2013	23182
Assumption 	parish	Louisiana	2014	23020
Assumption 	parish	Louisiana	2015	22842
Assumption 	parish	Louisiana	2010	22695
Assumption 	parish	Louisiana	2011	22518
Assumption 	parish	Louisiana	2012	22413
Assumption 	parish	Louisiana	2013	22529
Assumption 	parish	Louisiana	2014	22374
Assumption 	parish	Louisiana	2015	22203
Avoyelles 	parish	Louisiana	2010	42090
Avoyelles 	parish	Louisiana	2011	41818
Avoyelles 	parish	Louisiana	2012	41586
Avoyelles 	parish	Louisiana	2013	41291
Avoyelles 	parish	Louisiana	2014	41145
Avoyelles 	parish	Louisiana	2015	41103
Avoyelles 	parish	Louisiana	2010	24330
Avoyelles 	parish	Louisiana	2011	24180
Avoyelles 	parish	Louisiana	2012	24055
Avoyelles 	parish	Louisiana	2013	23898
Avoyelles 	parish	Louisiana	2014	23832
Avoyelles 	parish	Louisiana	2015	23825
Beauregard 	parish	Louisiana	2010	35846
Beauregard 	parish	Louisiana	2011	36073
Beauregard 	parish	Louisiana	2012	36292
Beauregard 	parish	Louisiana	2013	36247
Beauregard 	parish	Louisiana	2014	36220
Beauregard 	parish	Louisiana	2015	36462
Beauregard 	parish	Louisiana	2010	24622
Beauregard 	parish	Louisiana	2011	24760
Beauregard 	parish	Louisiana	2012	24954
Beauregard 	parish	Louisiana	2013	24885
Beauregard 	parish	Louisiana	2014	24830
Beauregard 	parish	Louisiana	2015	24969
Bienville 	parish	Louisiana	2010	14328
Bienville 	parish	Louisiana	2011	14228
Bienville 	parish	Louisiana	2012	14160
Bienville 	parish	Louisiana	2013	13942
Bienville 	parish	Louisiana	2014	13769
Bienville 	parish	Louisiana	2015	13786
Bienville 	parish	Louisiana	2010	7521
Bienville 	parish	Louisiana	2011	7476
Bienville 	parish	Louisiana	2012	7441
Bienville 	parish	Louisiana	2013	7326
Bienville 	parish	Louisiana	2014	7234
Bienville 	parish	Louisiana	2015	7245
Bossier 	parish	Louisiana	2010	46466
Bossier 	parish	Louisiana	2011	47401
Bossier 	parish	Louisiana	2012	48446
Bossier 	parish	Louisiana	2013	48475
Bossier 	parish	Louisiana	2014	48501
Bossier 	parish	Louisiana	2015	48172
Caddo 	parish	Louisiana	2010	44589
Caddo 	parish	Louisiana	2011	44869
Caddo 	parish	Louisiana	2012	44986
Caddo 	parish	Louisiana	2013	44660
Caddo 	parish	Louisiana	2014	44266
Caddo 	parish	Louisiana	2015	44107
Caldwell 	parish	Louisiana	2010	10138
Caldwell 	parish	Louisiana	2011	10090
Caldwell 	parish	Louisiana	2012	10010
Caldwell 	parish	Louisiana	2013	9935
Caldwell 	parish	Louisiana	2014	9922
Caldwell 	parish	Louisiana	2015	9993
Caldwell 	parish	Louisiana	2010	8199
Caldwell 	parish	Louisiana	2011	8159
Caldwell 	parish	Louisiana	2012	8093
Caldwell 	parish	Louisiana	2013	8030
Caldwell 	parish	Louisiana	2014	8021
Caldwell 	parish	Louisiana	2015	8081
Cameron 	parish	Louisiana	2010	6903
Cameron 	parish	Louisiana	2011	6690
Cameron 	parish	Louisiana	2012	6629
Cameron 	parish	Louisiana	2013	6689
Cameron 	parish	Louisiana	2014	6705
Cameron 	parish	Louisiana	2015	6817
Catahoula 	parish	Louisiana	2010	10373
Catahoula 	parish	Louisiana	2011	10321
Catahoula 	parish	Louisiana	2012	10260
Catahoula 	parish	Louisiana	2013	10292
Catahoula 	parish	Louisiana	2014	10215
Catahoula 	parish	Louisiana	2015	10147
Catahoula 	parish	Louisiana	2010	7247
Catahoula 	parish	Louisiana	2011	7218
Catahoula 	parish	Louisiana	2012	7179
Catahoula 	parish	Louisiana	2013	7203
Catahoula 	parish	Louisiana	2014	7161
Catahoula 	parish	Louisiana	2015	7121
Claiborne 	parish	Louisiana	2010	17154
Claiborne 	parish	Louisiana	2011	16952
Claiborne 	parish	Louisiana	2012	16861
Claiborne 	parish	Louisiana	2013	16686
Claiborne 	parish	Louisiana	2014	16399
Claiborne 	parish	Louisiana	2015	16295
Claiborne 	parish	Louisiana	2010	11058
Claiborne 	parish	Louisiana	2011	10951
Claiborne 	parish	Louisiana	2012	10904
Claiborne 	parish	Louisiana	2013	10809
Claiborne 	parish	Louisiana	2014	10650
Claiborne 	parish	Louisiana	2015	10596
Concordia 	parish	Louisiana	2010	20831
Concordia 	parish	Louisiana	2011	20820
Concordia 	parish	Louisiana	2012	20442
Concordia 	parish	Louisiana	2013	20445
Concordia 	parish	Louisiana	2014	20398
Concordia 	parish	Louisiana	2015	20142
Concordia 	parish	Louisiana	2010	11615
Concordia 	parish	Louisiana	2011	11611
Concordia 	parish	Louisiana	2012	11420
Concordia 	parish	Louisiana	2013	11433
Concordia 	parish	Louisiana	2014	11422
Concordia 	parish	Louisiana	2015	11303
De Soto 	parish	Louisiana	2010	26684
De Soto 	parish	Louisiana	2011	26769
De Soto 	parish	Louisiana	2012	26975
De Soto 	parish	Louisiana	2013	27016
De Soto 	parish	Louisiana	2014	27011
De Soto 	parish	Louisiana	2015	27052
De Soto 	parish	Louisiana	2010	17144
De Soto 	parish	Louisiana	2011	17211
De Soto 	parish	Louisiana	2012	17351
De Soto 	parish	Louisiana	2013	17364
De Soto 	parish	Louisiana	2014	17306
De Soto 	parish	Louisiana	2015	17304
East Carroll 	parish	Louisiana	2010	7725
East Carroll 	parish	Louisiana	2011	7661
East Carroll 	parish	Louisiana	2012	7568
East Carroll 	parish	Louisiana	2013	7503
East Carroll 	parish	Louisiana	2014	7466
East Carroll 	parish	Louisiana	2015	7307
East Feliciana 	parish	Louisiana	2010	20171
East Feliciana 	parish	Louisiana	2011	20146
East Feliciana 	parish	Louisiana	2012	19956
East Feliciana 	parish	Louisiana	2013	19660
East Feliciana 	parish	Louisiana	2014	19818
East Feliciana 	parish	Louisiana	2015	19696
East Feliciana 	parish	Louisiana	2010	12792
East Feliciana 	parish	Louisiana	2011	12778
East Feliciana 	parish	Louisiana	2012	12648
East Feliciana 	parish	Louisiana	2013	12449
East Feliciana 	parish	Louisiana	2014	12567
East Feliciana 	parish	Louisiana	2015	12482
Evangeline 	parish	Louisiana	2010	33964
Evangeline 	parish	Louisiana	2011	33842
